voice_index	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sex confidence
183	0.8	1	1	0.667	0.8	0.3	2.56	male	-3.5	202.2	0.79	1.35	0.40
184	0.8	1	1	0.667	0.8	0.3	2.15	ambiguous	-3.1	167.5	0.65	1.29	0.48
185	0.8	1	1	0.667	0.8	0.3	-0.51	ambiguous	-1.7	202.55	0.79	1.09	0.14
186	0.8	1	1	0.667	0.8	0.3	0.08	male	-2	172.27	0.67	1.13	0.27
187	0.8	1	1	0.667	0.8	0.3	0	male	-1.7	213.89	0.83	1.09	0.21
188	0.8	1	1	0.667	0.8	0.3	-0.9	ambiguous	-2.7	183.7	0.71	1.23	0.39
189	0.8	1	1	0.667	0.8	0.3	-1.43	male	-4.6	226.58	0.88	1.53	0.52
190	0.8	1	1	0.667	0.8	0.3	1.35	male	-2.9	217.06	0.84	1.26	0.58
191	0.8	1	1	0.667	0.8	0.3	1.24	male	-2.6	252.64	0.98	1.21	0.79
192	0.8	1	1	0.667	0.8	0.3	-0.02	female	-4.1	215.2	0.84	1.44	0.80
193	0.8	1	1	0.667	0.8	0.3	0.27	female	-2.4	209.68	0.81	1.19	0.31
194	0.8	1	1	0.667	0.8	0.3	-1.31	ambiguous	-6.4	199.9	0.78	1.88	0.10
195	0.8	1	1	0.667	0.8	0.3	-1.55	female	-5	229.09	0.89	1.6	0.43
196	0.8	1	1	0.667	0.8	0.3	2.31	ambiguous	-4.1	200.93	0.78	1.44	0.80
197	0.8	1	1	0.667	0.8	0.3	-3.47	ambiguous	-4.2	226.29	0.88	1.46	0.13
198	0.8	1	1	0.667	0.8	0.3	-1.78	male	-3.1	215.46	0.84	1.29	0.80
199	0.8	1	1	0.667	0.8	0.3	-0.16	male	-0.8	251.2	0.98	0.99	0.80
200	0.8	1	1	0.667	0.8	0.3	-0.09	male	-2.8	231.66	0.9	1.24	0.49
201	0.8	1	1	0.667	0.8	0.3	-1.78	male	-3.8	224.69	0.87	1.39	0.41
202	0.8	1	1	0.667	0.8	0.3	-0.58	female	-3.6	166.47	0.65	1.36	0.54
203	0.8	1	1	0.667	0.8	0.3	-1.14	male	-3	212.98	0.83	1.27	0.40
204	0.8	1	1	0.667	0.8	0.3	0.96	male	-4	214.94	0.83	1.43	0.48
205	0.8	1	1	0.667	0.8	0.3	1.39	female	-4.8	196.22	0.76	1.56	0.14
206	0.8	1	1	0.667	0.8	0.3	1.72	female	-3.5	216.39	0.84	1.35	0.27
207	0.8	1	1	0.667	0.8	0.3	-0.98	female	-5	204.91	0.8	1.6	0.21
208	0.8	1	1	0.667	0.8	0.3	-2.34	ambiguous	-3.4	185.15	0.72	1.33	0.39
209	0.8	1	1	0.667	0.8	0.3	1.31	male	-4.1	177.85	0.69	1.44	0.52
210	0.8	1	1	0.667	0.8	0.3	0.66	female	-4.7	212.34	0.82	1.55	0.58
211	0.8	1	1	0.667	0.8	0.3	1.8	female	-4.4	204.67	0.79	1.49	0.79
212	0.8	1	1	0.667	0.8	0.3	0.29	male	-3.2	203.72	0.79	1.3	0.80
213	0.8	1	1	0.667	0.8	0.3	-1.01	ambiguous	-4.3	224.98	0.87	1.48	0.31
214	0.8	1	1	0.667	0.8	0.3	2.37	female	-3.8	197.98	0.77	1.39	0.10
215	0.8	1	1	0.667	0.8	0.3	-0.53	female	-4	203.6	0.79	1.43	0.43
216	0.8	1	1	0.667	0.8	0.3	1.16	male	-2.9	215.46	0.84	1.26	0.80
217	0.8	1	1	0.667	0.8	0.3	-1.07	male	-1.3	240.37	0.93	1.05	0.13
218	0.8	1	1	0.667	0.8	0.3	1.28	ambiguous	-3.1	189.65	0.74	1.29	0.80
219	0.8	1	1	0.667	0.8	0.3	-0.89	male	-2.5	226.43	0.88	1.2	0.80
220	0.8	1	1	0.667	0.8	0.3	-0.75	female	-6.2	206.72	0.8	1.84	0.49
221	0.8	1	1	0.667	0.8	0.3	-0.09	male	-3.5	203.37	0.79	1.35	0.41
222	0.8	1	1	0.667	0.8	0.3	3.68	male	-3	190.16	0.74	1.27	0.54
223	0.8	1	1	0.667	0.8	0.3	-0.42	male	-4	198.77	0.77	1.43	0.40
224	0.8	1	1	0.667	0.8	0.3	2.56	female	-4.9	168.14	0.65	1.58	0.48
225	0.8	1	1	0.667	0.8	0.3	0.49	male	-3.2	215.33	0.84	1.3	0.14
226	0.8	1	1	0.667	0.8	0.3	0.15	female	-5.4	207.45	0.81	1.68	0.27
227	0.8	1	1	0.667	0.8	0.3	-2.67	male	-4	214.94	0.83	1.43	0.21
228	0.8	1	1	0.667	0.8	0.3	0.9	female	-5.6	194.37	0.75	1.71	0.39
229	0.8	1	1	0.667	0.8	0.3	0.52	female	-4.8	206.35	0.8	1.56	0.52
230	0.8	1	1	0.667	0.8	0.3	0.44	male	-5.6	245.58	0.95	1.71	0.58
231	0.8	1	1	0.667	0.8	0.3	0.89	male	-1.3	226.29	0.88	1.05	0.79
232	0.8	1	1	0.667	0.8	0.3	4.19	male	-1.5	183.32	0.71	1.07	0.80
233	0.8	1	1	0.667	0.8	0.3	4.23	male	-2.9	180.12	0.7	1.26	0.31
234	0.8	1	1	0.667	0.8	0.3	-0.49	female	-5.1	200.01	0.78	1.62	0.10
235	0.8	1	1	0.667	0.8	0.3	0.39	ambiguous	-4.9	176.33	0.68	1.58	0.43
236	0.8	1	1	0.667	0.8	0.3	0.82	ambiguous	-2.3	205.99	0.8	1.17	0.80
237	0.8	1	1	0.667	0.8	0.3	0.77	ambiguous	-1.7	204.32	0.79	1.09	0.13
238	0.8	1	1	0.667	0.8	0.3	-2.68	female	-3.1	180.96	0.7	1.29	0.80
239	0.8	1	1	0.667	0.8	0.3	1.51	ambiguous	-4.7	192.98	0.75	1.55	0.80
240	0.8	1	1	0.667	0.8	0.3	2.41	ambiguous	-4.3	195.13	0.76	1.48	0.49
241	0.8	1	1	0.667	0.8	0.3	1.36	female	-3.8	217.06	0.84	1.39	0.41
242	0.8	1	1	0.667	0.8	0.3	1.26	ambiguous	-4.3	194.48	0.76	1.48	0.54
243	0.8	1	1	0.667	0.8	0.3	3.63	male	-3.5	202.67	0.79	1.35	0.40
244	0.8	1	1	0.667	0.8	0.3	-0.14	ambiguous	-5.4	217.73	0.85	1.68	0.48
245	0.8	1	1	0.667	0.8	0.3	-1.21	male	-3	213.89	0.83	1.27	0.14
246	0.8	1	1	0.667	0.8	0.3	-0.27	male	-1.9	205.51	0.8	1.12	0.27
247	0.8	1	1	0.667	0.8	0.3	0	female	-5	195.23	0.76	1.6	0.21
248	0.8	1	1	0.667	0.8	0.3	-1.99	male	-2.1	187.73	0.73	1.15	0.39
249	0.8	1	1	0.667	0.8	0.3	-0.82	ambiguous	-4	200.81	0.78	1.43	0.52
250	0.8	1	1	0.667	0.8	0.3	1.27	female	-5.9	182.08	0.71	1.78	0.58
251	0.8	1	1	0.667	0.8	0.3	0.37	female	-5	199.11	0.77	1.6	0.79
252	0.8	1	1	0.667	0.8	0.3	1.26	female	-3.9	195.67	0.76	1.41	0.80
253	0.8	1	1	0.667	0.8	0.3	3.1	male	-4.1	191.72	0.74	1.44	0.31
254	0.8	1	1	0.667	0.8	0.3	-0.4	male	-3.9	224.84	0.87	1.41	0.10
255	0.8	1	1	0.667	0.8	0.3	1.33	female	-2.9	221.86	0.86	1.26	0.43
256	0.8	1	1	0.667	0.8	0.3	-0.36	male	-1.8	211.7	0.82	1.11	0.80
257	0.8	1	1	0.667	0.8	0.3	-0.96	male	-3.4	200.13	0.78	1.33	0.13
258	0.8	1	1	0.667	0.8	0.3	0.7	female	-2.6	172.18	0.67	1.21	0.80
259	0.8	1	1	0.667	0.8	0.3	1.34	male	-1.8	228.94	0.89	1.11	0.80
260	0.8	1	1	0.667	0.8	0.3	-2.07	ambiguous	-3.8	228.94	0.89	1.39	0.49
