voice_id	measured_lufs	gain_db_to_target	volume_linear_to_target	eq	length_scale_base	pitch_semitones	dur_s	words	measured_wpm	median_f0_hz	f0_p10_hz	f0_p90_hz	voiced_ratio	sex_guess	sex_confidence	newSpeed	newVol
838	-15.1	-4.9	0.57	off	1.03	0	22.06	68	184.96	109.16	86.47	469.15	0.75	male	0.8	0.72	1.58
839	-17.5	-2.5	0.75	off	1.1	0	17.89	68	228.05	114.25	95.04	247.75	0.76	male	0.8	0.89	1.2
840	-13.8	-6.2	0.49	off	1	0	26.31	68	155.08	222.73	179.27	275.63	0.78	female	0.94	0.60	1.84
841	-16.1	-3.9	0.64	off	1.1	0	18.51	68	220.47	98	81.94	501.14	0.72	male	0.8	0.86	1.41
842	-16	-4	0.63	off	1.1	0	19.5	68	209.18	110.25	92.26	501.14	0.72	male	0.8	0.81	1.43
843	-16.7	-3.3	0.68	off	1.1	0	19.04	68	214.28	127.46	96.29	337.17	0.74	male	0.55	0.83	1.32
844	-17.3	-2.7	0.73	off	1.1	0	18.2	68	224.12	123.88	93.43	278.32	0.71	male	0.62	0.87	1.23
845	-17.3	-2.7	0.73	off	1.1	0	20.51	68	198.88	160.95	128.2	373.73	0.73	ambiguous	0.4	0.77	1.23
846	-16.9	-3.1	0.7	off	1.1	0	17.11	68	238.41	108.62	87.5	501.14	0.75	male	0.8	0.93	1.29
847	-15.6	-4.4	0.6	off	1.1	0	18.52	68	220.33	106.01	85.14	490	0.78	male	0.8	0.86	1.49
848	-16	-4	0.63	off	1.1	0	18.18	68	224.41	120.49	97.57	432.35	0.76	male	0.69	0.87	1.43
849	-14.3	-5.7	0.52	off	1.09	0	20.81	68	196.11	218.32	180.74	275.63	0.77	female	0.83	0.76	1.73
850	-15.2	-4.8	0.58	off	1.1	0	18.38	68	222	225	190.09	275.63	0.79	female	1	0.86	1.56
851	-17.7	-2.3	0.77	off	1.1	0	17.84	68	228.64	111.93	92.65	432.35	0.77	male	0.8	0.89	1.17
852	-17	-3	0.71	off	1.1	0	18.76	68	217.46	146.03	117.91	459.38	0.78	male	0.18	0.84	1.27
853	-16.7	-3.3	0.68	off	1.1	0	18.45	68	221.16	214.08	168.32	329.1	0.75	female	0.58	0.86	1.32
854	-17.6	-2.4	0.76	off	1.07	0	21.28	68	191.72	106.52	86.13	501.14	0.76	male	0.8	0.74	1.19
855	-15.8	-4.2	0.62	off	1.1	0	18.68	68	218.41	118.55	92.65	479.35	0.74	male	0.73	0.85	1.46
856	-18.1	-1.9	0.8	off	1.1	0	19.24	68	212.08	115.45	92.26	400.91	0.71	male	0.79	0.82	1.12
857	-17.6	-2.4	0.76	off	1.1	0	19.85	68	205.51	135.28	117.23	441	0.78	male	0.39	0.80	1.19
858	-16.1	-3.9	0.64	off	1.1	0	18.65	68	218.82	113.08	90.74	501.14	0.76	male	0.8	0.85	1.41
859	-17.2	-2.8	0.72	off	1.07	0	21.11	68	193.3	101.61	85.14	490	0.69	male	0.8	0.75	1.24
860	-15.5	-4.5	0.6	off	1	0	23.24	68	175.54	179.27	154.2	306.25	0.75	ambiguous	0.4	0.68	1.51
861	-17.8	-2.2	0.78	off	1.1	0	18.2	68	224.12	128.2	105.5	441	0.78	male	0.54	0.87	1.16
862	-15.8	-4.2	0.62	off	1	0	23.38	68	174.49	180.74	145.07	260.65	0.76	ambiguous	0.5	0.68	1.46
863	-18.9	-1.1	0.88	off	1.1	0	16.29	68	250.48	99.32	83.52	354.52	0.74	male	0.8	0.97	1.02
864	-15.5	-4.5	0.6	off	1.08	0	20.94	68	194.8	200.45	168.32	259.41	0.74	female	0.39	0.76	1.51
