voice_index	voice_number	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sexConfidence
706	706	0.8	1	1.11	0.667	0.8	0.3	2.08	male	-1.8	208.93	0.81	1.11	0.27
707	707	0.8	1	1.46	0.667	0.8	0.3	1.74	female	-4.2	186.53	0.72	1.46	0.21
708	708	0.8	1	1.68	0.667	0.8	0.3	0.36	female	-5.4	205.39	0.8	1.68	0.39
709	709	0.8	1	1.2	0.667	0.8	0.3	-0.92	male	-2.5	211.83	0.82	1.2	0.52
710	710	0.8	1	1.41	0.667	0.8	0.3	-2.81	female	-3.9	197.54	0.77	1.41	0.58
711	711	0.8	1	1.27	0.667	0.8	0.3	-0.12	ambiguous	-3	207.94	0.81	1.27	0.79
712	712	0.8	1	1.46	0.667	0.8	0.3	0.59	female	-4.2	202.55	0.79	1.46	0.8
713	713	0.8	1	1.46	0.667	0.8	0.3	0.62	male	-4.2	195.89	0.76	1.46	0.31
714	714	0.8	1	1.24	0.667	0.8	0.3	-2.73	ambiguous	-2.8	199.33	0.77	1.24	0.1
715	715	0.8	1	1.23	0.667	0.8	0.3	-1.42	male	-2.7	202.67	0.79	1.23	0.43
716	716	0.8	1	1.66	0.667	0.8	0.3	1.31	male	-5.3	189.24	0.73	1.66	0.8
717	717	0.8	1	1.36	0.667	0.8	0.3	2.18	ambiguous	-3.6	208.56	0.81	1.36	0.13
718	718	0.8	1	1.55	0.667	0.8	0.3	0.87	male	-4.7	198.43	0.77	1.55	0.8
719	719	0.8	1	1.48	0.667	0.8	0.3	-0.13	female	-4.3	215.33	0.84	1.48	0.8
720	720	0.8	1	0.95	0.667	0.8	0.3	1.5	male	-0.5	202.2	0.79	0.95	0.49
721	721	0.8	1	1.26	0.667	0.8	0.3	-0.48	male	-2.9	183.7	0.71	1.26	0.41
722	722	0.8	1	1.27	0.667	0.8	0.3	-0.69	male	-3	238.74	0.93	1.27	0.54
723	723	0.8	1	1.41	0.667	0.8	0.3	-0.21	female	-3.9	223.41	0.87	1.41	0.4
724	724	0.8	1	1.33	0.667	0.8	0.3	-1.06	male	-3.4	235.85	0.92	1.33	0.48
725	725	0.8	1	1.55	0.667	0.8	0.3	1.12	male	-4.7	186.83	0.73	1.55	0.14
726	726	0.8	1	1.58	0.667	0.8	0.3	0.36	ambiguous	-4.9	213.11	0.83	1.58	0.27
727	727	0.8	1	1.55	0.667	0.8	0.3	2.52	female	-4.7	188.23	0.73	1.55	0.21
728	728	0.8	1	1.05	0.667	0.8	0.3	-1.16	male	-1.3	214.54	0.83	1.05	0.39
729	729	0.8	1	1.49	0.667	0.8	0.3	-0.72	male	-4.4	221.44	0.86	1.49	0.52
730	730	0.8	1	1.36	0.667	0.8	0.3	1.24	male	-3.6	186.13	0.72	1.36	0.58
731	731	0.8	1	1.53	0.667	0.8	0.3	-1.59	female	-4.6	213.11	0.83	1.53	0.79
732	732	0.8	1	1.51	0.667	0.8	0.3	0.63	ambiguous	-4.5	202.08	0.78	1.51	0.8
733	733	0.8	1	1.64	0.667	0.8	0.3	1.72	female	-5.2	180.59	0.7	1.64	0.31
734	734	0.8	1	1.6	0.667	0.8	0.3	1.73	male	-5	181.8	0.71	1.6	0.1
735	735	0.8	1	1.43	0.667	0.8	0.3	-4.03	male	-4	251.92	0.98	1.43	0.43
736	736	0.8	1	1.05	0.667	0.8	0.3	0.38	male	-1.3	195.13	0.76	1.05	0.8
737	737	0.8	1	1.68	0.667	0.8	0.3	0.24	female	-5.4	172.18	0.67	1.68	0.13
738	738	0.8	1	1.2	0.667	0.8	0.3	-1.9	male	-2.5	211.96	0.82	1.2	0.8
739	739	0.8	1	1.48	0.667	0.8	0.3	0.85	male	-4.3	214.15	0.83	1.48	0.8
740	740	0.8	1	1.27	0.667	0.8	0.3	3.83	male	-3	195.13	0.76	1.27	0.49
741	741	0.8	1	1.56	0.667	0.8	0.3	0.75	female	-4.8	181.71	0.71	1.56	0.41
742	742	0.8	1	1.29	0.667	0.8	0.3	1.25	male	-3.1	182.84	0.71	1.29	0.54
743	743	0.8	1	1.48	0.667	0.8	0.3	-2.94	male	-4.3	198.54	0.77	1.48	0.4
744	744	0.8	1	1.38	0.667	0.8	0.3	-1.31	male	-3.7	237.93	0.92	1.38	0.48
745	745	0.8	1	1.64	0.667	0.8	0.3	5.04	female	-5.2	156.67	0.61	1.64	0.14
746	746	0.8	1	1.44	0.667	0.8	0.3	-2.72	female	-4.1	215.46	0.84	1.44	0.27
747	747	0.8	1	1.33	0.667	0.8	0.3	1.14	ambiguous	-3.4	184.38	0.72	1.33	0.21
748	748	0.8	1	1.62	0.667	0.8	0.3	2.91	female	-5.1	158.58	0.62	1.62	0.39
